,name,Happiness Score,Freedom,Trust,GDP,Adult Mortality,Infant Deaths,Under 5Y/O Deaths,Hepatitis B,HIV/AIDS,Population,Life Expectancy,region,subregion,Literacy Rate(%),gini,area,Inflation(%),Change forest %,Forest area %,FemaleSuicide %,MaleSuicide %,Homicide %,Prison population,Gender Inequality,Suicide %,Density,Adult Mortality per Population
0,Afghanistan,3.512799982070922,0.117923904097557,0.0580935660119057,0.35711344353485097,269.0625,78.25,107.5625,64.5625,0.10000000000000002,27451156.1875,58.193749999999994,Asia,Southern Asia,28.1,27.8,652230.0,6.8,0.0,2.067824648,5.3,6.2,6.5,76.0,0.6933503788083194,11.5,42.08815323965472,0.00980149973145826
1,Albania,4.712600010681152,0.37189772696304324,0.043200843199968336,0.9386325506629944,45.0625,0.6875,0.9375,98.0,0.10000000000000002,2968697.8125,75.15624999999999,Europe,Southern Europe,98.7,34.5,28748.0,1.7,-1.898605838825962,28.248905109000003,5.2,6.6,5.0,158.0,0.2173959474247256,11.8,103.26623808612773,0.015179214203028622
2,Algeria,5.667600043487548,0.17843716158390038,0.14609922206878662,1.012962893333436,108.1875,20.3125,23.5,78.0,0.10000000000000002,34821374.6875,73.61874999999999,Africa,Northern Africa,79.0,35.3,2381741.0,3.9,-11.553689155954928,0.619043221,1.5,2.3,0.7,162.0,0.4131178592708443,3.8,14.620134887672505,0.0031069278846948168
3,Angola,3.872250019073488,0.027432500000000005,0.07157008382618428,0.7983795450544358,328.5625,83.75,132.625,70.22222222222223,2.36875,21622864.125,49.01875,Africa,Middle Africa,70.4,58.6,1246700.0,8.9,-4.502755173980387,46.707628138000004,7.3,20.7,10.0,105.0,0.4073482129411909,28.0,17.34407967032967,0.015195142424269385
4,Argentina,6.4593999954223635,0.4816198407802582,0.06430797754287719,1.1110350925216683,106.0,10.125,11.375,81.28571428571429,0.10000000000000002,39914105.9375,75.15624999999999,Americas,South America,97.9,44.5,2780400.0,20.8,-16.878682476433482,10.567656549,4.1,17.2,5.5,147.0,0.375609703713864,21.299999999999997,14.35552652046468,0.0026557027274012202
5,Armenia,4.39319998550415,0.2160286534719468,0.03876688430082798,0.8391333475723265,117.375,1.0,1.0,87.5625,0.10000000000000002,2950902.375,73.39999999999999,Asia,Western Asia,99.4,30.9,29743.0,4.900840336134454,-26.890756110645015,8.907622058,0.9,5.0,1.8,164.0,0.3175741862592817,5.9,99.21334011364019,0.03977596852894871
6,Australia,7.276199983978271,0.6050434764595031,0.3145727460727692,1.3948849870224,63.1875,1.0,1.375,93.4,0.10000000000000002,21289153.0625,81.81250000000001,Oceania,Australia and New Zealand,99.0,30.5,7692024.0,2.4,-4.56181232106,19.193731044,5.2,16.1,1.1,130.0,0.1101301029569508,21.3,2.7676919706048757,0.0029680607685282833
7,Austria,7.142000008392334,0.576929237915039,0.21426007308769224,1.398341452667236,65.75,0.0,0.0,81.0625,0.10000000000000002,8296243.5625,81.48124999999999,Europe,Western Europe,98.0,26.0,83871.0,2.1,3.255795277523399,47.288524312,5.4,18.2,0.9,98.0,0.05284976010522857,23.6,98.91671212337995,0.007925273589748228
8,Azerbaijan,5.22920004119873,0.38054516765022284,0.1757555014209748,1.073644353126526,115.1875,6.0625,7.1875,59.214285714285715,0.10000000000000002,8760319.5,70.73124999999999,Asia,Western Asia,99.8,33.7,86600.0,2.4,0.6678119361544611,11.323767814000002,1.0,2.4,2.1,413.0,0.3030003365078938,3.4,101.15842378752887,0.01314877842069573
9,Bahrain,6.113799978637696,0.5190833838310243,0.21075243391418463,1.390482452201844,65.375,0.0,0.0,98.125,0.10000000000000002,1045686.3125,75.72500000000001,Asia,Western Asia,82.42480620155038,39.808800000000005,765.0,4.900840336134454,154.21052663173685,0.736842105,2.9,11.6,0.5,275.0,0.26486260254652194,14.5,1366.9102124183007,0.06251874890061736
10,Bangladesh,4.580199960327148,0.47826733188247683,0.1324475718774796,0.5239965950584413,141.375,153.625,201.5625,77.61538461538461,0.10000000000000002,142890426.4375,69.3,Asia,Southern Asia,57.7,32.1,147570.0,7.6,-3.8286479516035814,11.03787355,8.7,6.8,2.7,42.0,0.5033922826167625,15.5,968.2891267703462,0.0009893944858638739
11,Belarus,5.597999953460694,0.30153805237579345,0.1635567643346786,1.085019511993408,218.75,0.5625,0.875,88.9375,0.10000000000000002,9626469.875,69.90625,Europe,Eastern Europe,99.6,26.5,207600.0,19.0,11.884267973554044,42.913607018,6.4,32.7,5.1,335.0,0.15072708097560714,39.1,46.37027878131021,0.022723802478008585
12,Belgium,6.92139995880127,0.5387621444778443,0.23784462621307378,1.3753981521530159,70.1875,0.25,1.0,74.5,0.10000000000000002,10719378.625,80.68124999999999,Europe,Western Europe,99.0,33.0,30528.0,1.3,2.0722593423752635,22.453104359,7.7,21.0,1.6,108.0,0.06330685691645578,28.7,351.132685567348,0.006547720950569558
13,Belize,5.955999950408937,0.5509397907447813,0.09776369053840638,0.8637117720158893,155.5,0.0,0.0,94.75,0.43125,303564.5,69.26875,Americas,Central America,76.9,53.1,22966.0,1.3,-13.379571251820645,60.227970189,0.5,4.9,44.7,476.0,0.4257496747263512,5.4,13.217996168248716,0.5122469854017845
14,Benin,3.90100001296997,0.4193865551891326,0.07136780305576325,0.3767450815467834,269.375,25.0,39.25,62.57142857142857,1.7062500000000005,8628806.25,57.568749999999994,Africa,Western Africa,42.4,38.6,112622.0,2.4,-22.565526811899584,39.561901383,3.1,8.8,8.4,75.0,0.6142885779395195,11.9,76.61741267247962,0.03121810737145709
15,Bhutan,5.124800031280518,0.49846753612518324,0.1654860779619216,0.8235072777023316,230.25,0.6875,0.9375,94.125,0.3562499999999999,664740.5,66.1625,Asia,Southern Asia,52.8,38.1,38394.0,11.0,32.093286353902315,85.804234331,11.2,23.1,1.7,135.0,0.4574337891801014,34.3,17.31365577954889,0.34637576618244265
16,Bosnia and Herzegovina,5.161800032043457,0.17679263538074502,0.0016539999999999999,0.9216938835258484,64.9375,0.0,0.0,71.66666666666667,0.10000000000000002,3687617.5625,75.96875000000001,Europe,Southern Europe,82.42480620155038,36.2,51209.0,4.900840336134454,-1.131221711625474,42.843137255,4.1,18.0,1.3,78.0,0.2006542392144438,22.1,72.01112231248413,0.017609608073342612
17,Botswana,3.830000006484986,0.4906072665863038,0.10460263981676102,1.0535808308715822,448.125,2.0,3.125,87.3125,16.525000000000002,1888505.3125,56.05,Africa,Southern Africa,85.1,61.0,582000.0,6.1,-18.98090100358997,19.611102289,2.0,5.7,18.4,205.0,0.4800711400026035,7.7,3.2448544888316153,0.23729083367352188
18,Brazil,6.6578000457763675,0.4430387493591308,0.1203925522317886,1.033226642089844,150.6875,68.25,77.25,96.1875,0.10000000000000002,190529267.8125,73.38125,Americas,South America,88.6,54.7,8515767.0,6.5,-10.386525620741217,61.632516325,2.5,9.4,25.2,274.0,0.45686587422578,11.9,22.373706069283013,0.0007908889890255164
19,Bulgaria,4.6186000450134275,0.2954583435173034,0.007784306189954282,1.0865358176651,125.5,0.9375,1.0,94.5,0.10000000000000002,7560491.0625,72.85,Europe,Eastern Europe,98.4,28.2,110879.0,1.5,23.666496001741532,37.190493736,5.3,16.6,1.9,151.0,0.21159376371699132,21.900000000000002,68.18686191704471,0.016599450877268992
20,Burkina Faso,4.07380001296997,0.32399957020378123,0.12299562119722363,0.31465954271698,252.5,44.75,79.9375,81.1,1.8375,14618284.9375,55.64374999999999,Africa,Western Africa,28.7,39.8,272967.0,2.1,-19.24930628194551,20.208333333,2.8,7.3,8.0,28.0,0.6312579490638839,10.1,53.55330474929204,0.01727288810414871
21,Burundi,3.078999994277954,0.10132015064001083,0.10699158900928499,0.062446513733387,291.5625,23.25,35.5625,93.33333333333333,3.0875000000000004,8089542.6875,55.537499999999994,Africa,Eastern Africa,67.2,33.3,27834.0,9.3,-41.7301037988799,6.557632399,12.5,34.1,8.0,72.0,0.4915585806632429,46.6,290.63529092117557,0.03604190141063521
